model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
google/gemma-4-E2B-it,samsum,shadow_kv_plus,1.2899262035023058,1.4239652521575012,25.78041547637185,32.14379815820989,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,ultrachat,shadow_kv,0.9970792282149916,1.0046543412648032,-3.479141579727206,-5.726189068104258,0.0,0,0,0.0
google/gemma-4-E2B-it,ultrachat,shadow_kv_plus,1.5095303577289916,1.4189367195530949,37.51107827811252,45.82810659118394,0.9921875,127,16256,0.0
google/gemma-4-E2B-it,xsum,shadow_kv,1.0025924562463997,0.9951997661094284,-1.4403748568610042,-3.161949577675033,0.0,0,0,0.0
google/gemma-4-E2B-it,xsum,shadow_kv_plus,1.5774726049382168,1.5663933500641694,46.75643101020225,56.39080390773605,0.9921875,127,16256,0.0
gpt2,ag_news,shadow_kv,1.0847977148697332,1.1068588626926172,-0.6919792186651367,-2.809006387647281,0.0,0,0,0.0
gpt2,ag_news,shadow_kv_plus,0.8549034459667048,0.942005923714058,-0.9379121755844092,-0.2985212551578826,0.9921875,127,16256,0.0
gpt2,alpaca_eval,shadow_kv,1.0091571575065246,1.0406649355128363,-1.776959047754005,-12.725322408943342,0.0,0,0,0.0
gpt2,alpaca_eval,shadow_kv_plus,0.7063880557816927,0.7726567862996004,-4.584026312060453,-12.456110180359335,0.9921875,127,16256,0.0
gpt2,banking77,shadow_kv,0.9557112308213374,0.9627668915687132,0.3868595945651689,8.74035929071679,0.0,0,0,0.0
gpt2,banking77,shadow_kv_plus,0.7043037253147977,0.7832386149364825,-1.4371200353018847,-1.3642634866692058,0.9921875,127,16256,0.0
gpt2,cnn_dailymail,shadow_kv,1.0350039509401447,1.0549397242825451,-1.0332058313371213,-1.452474934149985,0.0,0,0,0.0
gpt2,cnn_dailymail,shadow_kv_plus,0.795577840195157,0.8221483166184819,7.603175211002335,29.285220074335538,0.9921875,127,16256,0.0
