source,engine,workload,dataset,prompt_mode,n_requests,mean_latency_ms,speedup_vs_no_cache,cache_hit_rate,wasted_compute_ratio,reuse_density,reused_prefix_tokens_total,recompute_tokens_total,policy_net_utility_ms,semantic_partial_hits,layer_reuse_events
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,greedy_prefix_cache,public_dataset,alpaca_eval,raw,64,43.783874,1.127902,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,alpaca_eval,raw,64,38.876758,1.270268,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,frequency_speculative,public_dataset,alpaca_eval,raw,64,38.382576,1.286623,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/alpaca_eval/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_alpaca_eval_raw_cuda_0.json,shadow_kv,public_dataset,alpaca_eval,raw,64,78.019160,0.632972,0.000000,0.000000,0.000000,0.0,2746.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,no_cache,public_dataset,banking77,raw,64,41.447027,1.000000,0.000000,0.000000,0.000000,0.0,2567.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,reactive_prefix_cache,public_dataset,banking77,raw,64,43.504832,0.952699,0.000000,0.000000,0.017141,44.0,2523.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,greedy_prefix_cache,public_dataset,banking77,raw,64,42.801406,0.968357,0.000000,0.000000,0.000000,0.0,2567.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,strict_reactive_prefix_cache,public_dataset,banking77,raw,64,43.333601,0.956464,0.000000,0.000000,0.000000,0.0,2567.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,frequency_speculative,public_dataset,banking77,raw,64,53.013237,0.781824,0.000000,0.776016,0.540319,1387.0,1180.0,0.000000,0.0,0.0
results/results_T4_123_raw.zip!Qwen_Qwen2.5-1.5B-Instruct/banking77/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_banking77_raw_cuda_0.json,shadow_kv,public_dataset,banking77,raw,64,45.107853,0.918843,0.000000,1.000000,0.531360,1364.0,1203.0,0.000000,0.0,0.0
