engine,model,mode,seed,dataset,latency_ms,speedup,hit_rate,waste
no_cache,Qwen2.5-1.5B,semantic,42,alpaca_eval,55.85,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,banking77,52.38,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,cnn_dailymail,253.02,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,daily_dialog,80.6,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,dolly,76.3,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,oasst1,89.79,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,samsum,117.48,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,ultrachat,198.59,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,42,xsum,205.71,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,ag_news,75.65,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,alpaca_eval,54.97,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,banking77,62.06,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,cnn_dailymail,252.25,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,daily_dialog,82.27,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,dolly,80.88,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,oasst1,104.79,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,samsum,116.35,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,ultrachat,198.37,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,123,xsum,211.26,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,ag_news,68.9,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,alpaca_eval,65.03,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,banking77,52.39,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,cnn_dailymail,248.44,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,daily_dialog,88.54,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,dolly,79.52,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,oasst1,94.75,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,samsum,108.29,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,ultrachat,201.04,1.0,0.0,0.0
no_cache,Qwen2.5-1.5B,semantic,456,xsum,192.63,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,ag_news,45.69,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,alpaca_eval,34.73,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,banking77,34.39,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,cnn_dailymail,153.3,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,daily_dialog,52.81,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,dolly,50.51,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,oasst1,59.24,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,samsum,77.12,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,ultrachat,123.0,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,42,xsum,127.9,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,ag_news,49.34,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,alpaca_eval,35.89,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,banking77,33.75,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,cnn_dailymail,152.37,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,daily_dialog,52.44,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,dolly,59.47,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,oasst1,69.76,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,samsum,75.93,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,ultrachat,125.22,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,123,xsum,129.09,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,ag_news,46.93,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,alpaca_eval,35.64,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,banking77,33.11,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,cnn_dailymail,150.34,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,daily_dialog,57.3,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,dolly,47.57,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,oasst1,61.11,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,samsum,72.2,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,ultrachat,126.74,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,raw,456,xsum,121.16,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,ag_news,72.44,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,alpaca_eval,58.8,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,banking77,59.84,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,cnn_dailymail,185.48,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,daily_dialog,82.22,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,dolly,76.01,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,oasst1,83.73,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,samsum,108.65,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,ultrachat,156.3,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,42,xsum,159.11,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,ag_news,75.84,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,alpaca_eval,59.3,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,banking77,59.23,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,cnn_dailymail,183.68,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,daily_dialog,83.24,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,dolly,79.07,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,oasst1,95.96,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,samsum,107.01,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,ultrachat,157.71,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,123,xsum,161.6,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,ag_news,73.7,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,alpaca_eval,59.31,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,banking77,59.55,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,cnn_dailymail,181.42,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,daily_dialog,87.16,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,dolly,73.45,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,oasst1,87.62,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,samsum,103.48,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,ultrachat,159.71,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,templated,456,xsum,153.0,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,semantic,42,ag_news,53.18,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,semantic,42,alpaca_eval,46.33,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,semantic,42,banking77,45.21,1.0,0.0,0.0
no_cache,TinyLlama-1.1B,semantic,42,cnn_dailymail,163.16,1.0,0.0,0.0
